"","studentid","surveydate","age","ehpw","hpw","hsleep","gpa","imp","gender","job","type","marital.status"
"326",44941,2018-03-13,22,14,10,8.57,46.02,5,"female","empl","par-time","single"
"327",67238,2018-04-17,21,18,23,6.14,74.62,4,"male","unempl","full-time","single"
"328",76911,2018-05-02,19,20,10,7.71,40.51,3,"female","empl","par-time","single"
"329",1804,2018-01-03,25,19,21,6.29,75.65,1,"male","unempl","full-time","single"
"330",14979,2018-01-24,24,22,18,6.29,60.5,4,"male","unempl","full-time","single"
"331",44399,2018-03-12,23,20,21,6.14,72.91,5,"male","unempl","full-time","single"
"332",82905,2018-05-12,23,22,14,6.86,47.5,5,"female","empl","par-time","single"
"333",58023,2018-04-02,21,19,5,8.57,21.08,2,"female","empl","par-time","single"
"334",54640,2018-03-28,28,22,17,6.43,44,2,"male","empl","par-time","divorced"
"335",26486,2018-02-11,17,24,14,6.57,34.65,5,"female","empl","par-time","single"
"336",4689,2018-01-08,26,21,17,6.57,49.5,1,"male","empl","par-time","divorced"
"337",43288,2018-03-10,23,19,10,7.86,28.47,1,"female","empl","par-time","married"
"338",78203,2018-05-04,21,21,21,6,74.01,5,"male","unempl","full-time","single"
"339",28418,2018-02-15,22,19,13,7.43,46.85,4,"female","empl","par-time","single"
"340",82011,2018-05-11,27,19,12,7.57,41.26,2,"female","empl","par-time","divorced"
"341",65383,2018-04-14,24,20,14,7.14,49.14,4,"female","empl","par-time","single"
"342",99084,2018-06-07,21,21,13,7.14,41.94,1,"female","empl","par-time","single"
"343",44280,2018-03-12,24,16,6,8.86,32.56,2,"female","empl","par-time","married"
"344",13221,2018-01-21,23,19,9,8,38.06,5,"female","empl","par-time","single"
"345",93946,2018-05-29,20,24,17,6.14,58.31,3,"male","unempl","full-time","single"
"346",30319,2018-02-18,27,21,16,6.71,50.03,4,"male","unempl","full-time","divorced"
"347",986,2018-01-02,21,20,15,7,54.87,3,"male","unempl","full-time","single"
"348",67025,2018-04-17,22,20,15,7,48.56,2,"male","empl","par-time","single"
"349",28293,2018-02-14,30,19,13,7.43,50.66,2,"female","unempl","par-time","divorced"
"350",8351,2018-01-14,18,17,21,6.57,68.28,2,"male","unempl","full-time","single"
"351",32112,2018-02-20,26,16,8,8.57,37.81,1,"female","empl","par-time","divorced"
"352",33740,2018-02-23,21,19,18,6.71,57.62,1,"male","unempl","full-time","single"
"353",97161,2018-06-04,23,16,15,7.57,53.41,1,"male","unempl","full-time","single"
"354",97684,2018-06-04,29,20,13,7.29,47.22,5,"female","empl","par-time","divorced"
"355",96867,2018-06-03,24,19,13,7.43,40.3,5,"female","empl","par-time","single"
"356",98766,2018-06-06,20,21,20,6.14,55.53,1,"male","unempl","full-time","single"
"357",88013,2018-05-20,26,20,6,8.29,28,4,"female","empl","par-time","married"
"358",85159,2018-05-16,23,20,16,6.86,51.99,1,"male","unempl","full-time","single"
"359",30732,2018-02-18,21,14,13,8.14,61.79,4,"female","unempl","par-time","single"
"360",93148,2018-05-28,20,19,16,7,45.68,2,"male","empl","par-time","single"
"361",72055,2018-04-25,22,21,15,6.86,48.59,4,"male","empl","par-time","single"
"362",90118,2018-05-23,29,22,11,7.29,42.65,5,"female","empl","par-time","divorced"
"363",53198,2018-03-26,22,18,20,6.57,65.67,2,"male","unempl","full-time","single"
"364",39631,2018-03-04,21,21,12,7.29,46.63,4,"female","empl","par-time","single"
"365",86628,2018-05-18,22,17,14,7.57,44.77,1,"female","empl","par-time","single"
"366",91910,2018-05-26,29,18,24,6,76.98,1,"male","unempl","full-time","divorced"
"367",29007,2018-02-15,24,23,8,7.57,25.96,2,"female","empl","par-time","married"
"368",88280,2018-05-20,24,18,18,6.86,61.82,5,"male","unempl","full-time","single"
"369",60865,2018-04-07,23,15,13,8,46.67,3,"female","empl","par-time","single"
"370",47693,2018-03-17,20,25,15,6.29,46.1,2,"male","empl","par-time","single"
"371",10794,2018-01-18,20,20,23,5.86,70.8,3,"male","unempl","full-time","single"
"372",58198,2018-04-03,28,20,16,6.86,53,4,"male","unempl","full-time","divorced"
"373",84684,2018-05-15,22,26,11,6.71,30.14,4,"female","empl","par-time","single"
"374",47367,2018-03-17,20,20,18,6.57,51.72,4,"male","unempl","full-time","single"
"375",661,2018-01-02,23,18,15,7.29,48.17,4,"male","empl","par-time","single"
"376",82689,2018-05-12,21,19,13,7.43,38.34,3,"female","empl","par-time","single"
"377",7981,2018-01-13,16,23,11,7.14,32.02,2,"female","empl","par-time","single"
"378",46343,2018-03-15,32,23,13,6.86,40.45,3,"female","empl","par-time","divorced"
"379",38226,2018-03-02,30,24,23,5.29,66.92,3,"male","unempl","full-time","divorced"
"380",55172,2018-03-29,21,17,14,7.57,53.39,1,"female","unempl","full-time","single"
"381",15090,2018-01-24,30,24,13,6.71,36.12,5,"female","empl","par-time","divorced"
"382",28149,2018-02-14,25,21,13,7.14,35.38,1,"female","empl","par-time","single"
"383",56699,2018-03-31,26,19,23,6,71.24,5,"male","unempl","full-time","divorced"
"384",41411,2018-03-07,18,23,16,6.43,50.6,5,"male","unempl","full-time","single"
"385",92252,2018-05-27,21,23,17,6.29,51.97,1,"male","unempl","full-time","single"
"386",48821,2018-03-19,22,17,15,7.43,51.48,3,"male","unempl","full-time","single"
"387",48077,2018-03-18,23,18,2,9.14,12.13,2,"female","unempl","par-time","married"
"388",78746,2018-05-05,21,13,11,8.57,57.03,5,"female","unempl","par-time","single"
"389",66156,2018-04-15,17,14,11,8.43,43.67,4,"female","empl","par-time","single"
"390",17666,2018-01-29,22,25,21,5.43,70.19,3,"male","unempl","full-time","single"
"391",1431,2018-01-03,29,16,5,9,26.6,5,"female","empl","par-time","married"
"392",94743,2018-05-31,20,23,14,6.71,42.04,3,"female","empl","par-time","single"
"393",62282,2018-04-09,25,19,11,7.71,39.44,4,"female","empl","par-time","single"
"394",68923,2018-04-20,23,19,15,7.14,44.4,4,"male","empl","par-time","single"
"395",96968,2018-06-03,21,26,12,6.57,23.4,3,"female","empl","par-time","single"
"396",78634,2018-05-05,24,20,7,8.14,22.76,2,"female","empl","par-time","married"
"397",20239,2018-02-02,24,16,27,5.86,95.67,5,"male","unempl","full-time","single"
"398",8299,2018-01-14,27,13,23,6.86,75.33,2,"male","unempl","full-time","divorced"
"399",4385,2018-01-07,30,20,12,7.43,39.38,5,"female","empl","par-time","divorced"
"400",90138,2018-05-23,20,17,23,6.29,72.42,4,"male","unempl","full-time","single"
"401",82208,2018-05-11,23,15,17,7.43,56.88,2,"male","unempl","full-time","single"
"402",63217,2018-04-11,26,17,19,6.86,59.33,5,"male","unempl","full-time","divorced"
"403",9682,2018-01-16,22,19,9,8,34.39,2,"female","empl","par-time","single"
"404",97298,2018-06-04,25,21,13,7.14,33.69,5,"female","empl","par-time","married"
"405",62653,2018-04-10,19,20,14,7.14,40.44,3,"female","empl","par-time","single"
"406",94509,2018-05-30,25,23,15,6.57,50.04,1,"male","unempl","full-time","single"
"407",77690,2018-05-04,19,22,13,7,48.35,1,"female","empl","par-time","single"
"408",74901,2018-04-29,22,13,7,9.14,38.46,1,"female","empl","par-time","single"
"409",24621,2018-02-09,25,12,14,8.29,60.86,5,"female","unempl","full-time","single"
"410",12091,2018-01-20,22,18,23,6.14,78.29,1,"male","unempl","full-time","single"
"411",85978,2018-05-17,21,21,11,7.43,41.05,2,"female","empl","par-time","single"
"412",93572,2018-05-29,25,17,18,7,66.27,4,"male","unempl","full-time","single"
"413",68907,2018-04-20,21,15,15,7.71,54.81,1,"male","unempl","full-time","single"
"414",33748,2018-02-23,27,19,13,7.43,41.4,5,"female","empl","par-time","divorced"
"415",41201,2018-03-07,25,19,16,7,53.82,1,"male","unempl","full-time","single"
"416",1335,2018-01-03,19,16,16,7.43,63.4,2,"male","unempl","full-time","single"
"417",56287,2018-03-31,26,25,20,5.57,60.16,1,"male","unempl","full-time","divorced"
"418",36808,2018-02-28,26,19,23,6,72.58,2,"male","unempl","full-time","divorced"
"419",14352,2018-01-23,31,23,1,8.57,12.21,2,"female","unempl","par-time","married"
"420",70177,2018-04-22,22,25,12,6.71,27.52,1,"female","empl","par-time","single"
"421",60457,2018-04-06,21,24,15,6.43,49.78,1,"male","empl","par-time","single"
"422",54854,2018-03-29,25,24,19,5.86,50.87,5,"male","unempl","full-time","single"
"423",59567,2018-04-05,22,20,13,7.29,43.47,1,"female","empl","par-time","single"
"424",3623,2018-01-06,29,23,18,6.14,57.8,5,"male","unempl","full-time","divorced"
"425",69681,2018-04-21,31,19,10,7.86,42.35,1,"female","empl","par-time","divorced"
"426",92243,2018-05-27,20,20,17,6.71,61.11,3,"male","unempl","full-time","single"
"427",51348,2018-03-23,25,22,10,7.43,19.5,2,"female","unempl","par-time","married"
"428",21474,2018-02-04,27,18,14,7.43,51.41,5,"female","unempl","full-time","divorced"
"429",3381,2018-01-06,23,18,18,6.86,59.38,1,"male","unempl","full-time","single"
"430",57472,2018-04-02,19,25,14,6.43,43.96,4,"female","empl","par-time","single"
"431",18498,2018-01-30,21,22,5,8.14,23.75,2,"female","empl","par-time","single"
"432",66402,2018-04-16,22,22,12,7.14,42.99,3,"female","empl","par-time","single"
"433",59171,2018-04-04,25,19,6,8.43,21.38,1,"female","empl","par-time","married"
"434",55206,2018-03-29,23,19,4,8.71,14.78,4,"female","unempl","par-time","married"
"435",96718,2018-06-03,19,21,18,6.43,61.02,5,"male","unempl","full-time","single"
"436",43953,2018-03-11,17,12,13,8.43,57.64,1,"female","unempl","par-time","single"
"437",90522,2018-05-24,17,24,20,5.71,66.45,5,"male","unempl","full-time","single"
"438",69175,2018-04-20,24,20,17,6.71,54.09,2,"male","unempl","full-time","single"
"439",93794,2018-05-29,21,19,10,7.86,30.1,1,"female","empl","par-time","single"
"440",9253,2018-01-15,20,22,19,6.14,59.85,1,"male","unempl","full-time","single"
"441",24420,2018-02-08,27,19,19,6.57,60.53,5,"male","unempl","full-time","divorced"
"442",24361,2018-02-08,28,19,25,5.71,84.71,4,"male","unempl","full-time","single"
"443",10086,2018-01-17,25,19,13,7.43,46.76,3,"female","empl","par-time","single"
"444",64370,2018-04-13,27,22,12,7.14,38.42,2,"female","empl","par-time","divorced"
"445",55879,2018-03-30,19,22,17,6.43,49.04,5,"male","empl","par-time","single"
"446",40213,2018-03-05,21,21,14,7,48.83,3,"female","empl","par-time","single"
"447",32553,2018-02-21,23,20,22,6,70.22,5,"male","unempl","full-time","single"
"448",56814,2018-04-01,21,23,25,5.14,71.81,4,"male","unempl","full-time","single"
"449",91117,2018-05-25,25,16,12,8,41.06,4,"female","empl","par-time","single"
"450",92330,2018-05-27,20,19,17,6.86,49.02,1,"male","empl","par-time","single"
"451",70760,2018-04-23,23,22,20,6,60.22,3,"male","unempl","full-time","single"
"452",35473,2018-02-26,19,23,15,6.57,52.58,5,"male","unempl","full-time","single"
"453",83257,2018-05-13,20,21,10,7.57,35.41,3,"female","empl","par-time","single"
"454",21351,2018-02-03,23,20,13,7.29,41.14,2,"female","empl","par-time","single"
"455",83437,2018-05-13,22,18,14,7.43,50.13,1,"female","unempl","full-time","single"
"456",87199,2018-05-19,22,20,17,6.71,50.49,5,"male","unempl","full-time","single"
"457",38279,2018-03-02,26,14,15,7.86,51.48,4,"male","unempl","full-time","divorced"
"458",72163,2018-04-25,20,24,10,7.14,33.7,4,"female","empl","par-time","single"
"459",62079,2018-04-09,27,17,8,8.43,32.1,3,"female","empl","par-time","married"
"460",6116,2018-01-10,25,16,8,8.57,38.58,5,"female","empl","par-time","single"
"461",79281,2018-05-06,23,20,16,6.86,52.74,1,"male","unempl","full-time","single"
"462",8086,2018-01-13,28,21,12,7.29,46.54,1,"female","empl","par-time","divorced"
"463",43648,2018-03-11,29,22,11,7.29,30.65,5,"female","empl","par-time","married"
"464",83751,2018-05-13,16,21,20,6.14,60.57,5,"male","unempl","full-time","single"
"465",48074,2018-03-18,24,21,22,5.86,69.42,4,"male","unempl","full-time","single"
"466",85365,2018-05-16,20,19,17,6.86,57.8,3,"male","unempl","full-time","single"
"467",40425,2018-03-06,25,21,19,6.29,53.72,5,"male","unempl","full-time","single"
"468",53169,2018-03-26,22,23,10,7.29,29.36,5,"female","empl","par-time","single"
"469",40020,2018-03-05,21,17,12,7.86,54.54,4,"female","unempl","par-time","single"
"470",23595,2018-02-07,27,16,15,7.57,43.91,4,"male","empl","par-time","divorced"
"471",24577,2018-02-09,21,18,12,7.71,48.69,4,"female","empl","par-time","single"
"472",23386,2018-02-07,23,22,17,6.43,54.74,4,"male","unempl","full-time","single"
"473",29712,2018-02-17,21,21,6,8.14,22.61,4,"female","empl","par-time","single"
"474",91589,2018-05-26,25,21,12,7.29,46.63,5,"female","empl","par-time","single"
"475",64091,2018-04-12,24,14,15,7.86,62.54,3,"male","unempl","full-time","single"
"476",23901,2018-02-07,21,15,10,8.43,42.47,5,"female","empl","par-time","single"
"477",12528,2018-01-20,20,20,11,7.57,33.86,5,"female","empl","par-time","single"
"478",54731,2018-03-28,20,18,15,7.29,46.77,3,"male","empl","par-time","single"
"479",64697,2018-04-13,23,25,14,6.43,40.6,5,"female","empl","par-time","single"
"480",13105,2018-01-21,19,19,14,7.29,42.1,3,"female","empl","par-time","single"
"481",10083,2018-01-17,21,19,19,6.57,56.25,2,"male","unempl","full-time","single"
"482",14528,2018-01-24,19,22,6,8,20.96,2,"female","empl","par-time","single"
"483",86074,2018-05-17,17,16,11,8.14,47.32,3,"female","empl","par-time","single"
"484",86224,2018-05-17,21,21,19,6.29,56.04,1,"male","unempl","full-time","single"
"485",41326,2018-03-07,34,15,18,7.29,65.38,5,"male","unempl","full-time","divorced"
"486",12117,2018-01-20,18,21,15,6.86,43.45,5,"male","empl","par-time","single"
"487",67710,2018-04-18,24,19,21,6.29,71.56,1,"male","unempl","full-time","single"
"488",87079,2018-05-19,24,22,23,5.57,69.13,5,"male","unempl","full-time","single"
"489",58873,2018-04-04,26,19,1,9.14,11.13,5,"female","unempl","par-time","married"
"490",37949,2018-03-02,20,23,6,7.86,18.32,1,"female","unempl","par-time","single"
"491",74397,2018-04-29,26,22,17,6.43,45.06,3,"male","empl","par-time","divorced"
"492",98613,2018-06-06,24,19,11,7.71,36.34,4,"female","empl","par-time","single"
"493",64020,2018-04-12,29,22,17,6.43,41.55,4,"male","empl","par-time","divorced"
"494",15449,2018-01-25,22,27,14,6.14,30.92,3,"female","empl","par-time","single"
"495",60545,2018-04-07,18,16,13,7.86,37.18,3,"female","empl","par-time","single"
"496",21733,2018-02-04,27,17,20,6.71,67.54,3,"male","unempl","full-time","divorced"
"497",1733,2018-01-03,20,20,13,7.29,47.51,5,"female","empl","par-time","single"
"498",33635,2018-02-23,30,18,15,7.29,52.7,2,"male","unempl","full-time","divorced"
"499",64165,2018-04-12,19,21,13,7.14,37.85,2,"female","empl","par-time","single"
"500",92924,2018-05-28,24,14,18,7.43,68.01,2,"male","unempl","full-time","single"
"501",61809,2018-04-09,25,21,16,6.71,51.69,4,"male","unempl","full-time","single"
"502",64304,2018-04-13,28,22,13,7,41.31,3,"female","empl","par-time","divorced"
"503",87709,2018-05-20,19,17,11,8,48.67,2,"female","empl","par-time","single"
"504",41693,2018-03-08,25,14,11,8.43,42.36,2,"female","empl","par-time","single"
"505",27600,2018-02-13,29,20,16,6.86,55.83,5,"male","unempl","full-time","divorced"
"506",95109,2018-06-01,27,24,10,7.14,30.56,2,"female","empl","par-time","married"
"507",18530,2018-01-30,27,20,13,7.29,45.09,3,"female","empl","par-time","divorced"
"508",31443,2018-02-19,22,18,9,8.14,37.45,3,"female","empl","par-time","single"
"509",93741,2018-05-29,20,20,7,8.14,32.33,5,"female","empl","par-time","single"
"510",16798,2018-01-27,19,22,13,7,40.04,1,"female","empl","par-time","single"
"511",51727,2018-03-24,25,23,28,4.71,80.62,3,"male","unempl","full-time","single"
"512",81057,2018-05-09,33,22,8,7.71,21.93,4,"female","empl","par-time","married"
"513",16113,2018-01-26,24,26,16,6,43.25,2,"male","empl","par-time","single"
"514",92146,2018-05-27,27,17,16,7.29,62.33,1,"male","unempl","full-time","divorced"
"515",56010,2018-03-30,25,17,18,7,66.66,4,"male","unempl","full-time","single"
"516",33542,2018-02-23,21,21,11,7.43,26.6,2,"female","empl","par-time","single"
"517",94842,2018-05-31,23,22,4,8.29,8.58,4,"female","unempl","par-time","married"
"518",86420,2018-05-18,18,16,19,7,69.57,5,"male","unempl","full-time","single"
"519",96178,2018-06-02,28,18,16,7.14,54.77,1,"male","unempl","full-time","divorced"
"520",88618,2018-05-21,20,19,23,6,75.47,2,"male","unempl","full-time","single"
"521",82475,2018-05-11,18,20,14,7.14,45.45,1,"female","empl","par-time","single"
"522",39208,2018-03-04,28,20,9,7.86,35.3,3,"female","empl","par-time","divorced"
"523",4521,2018-01-08,24,20,21,6.14,61.7,2,"male","unempl","full-time","single"
"524",50860,2018-03-22,17,17,12,7.86,44.26,1,"female","empl","par-time","single"
"525",99978,2018-04-03,31,21,24,5.57,72.89,1,"male","unempl","full-time","divorced"
"526",12845,2018-01-21,26,20,11,7.57,44.15,3,"female","empl","par-time","divorced"
"527",2507,2018-01-04,19,20,16,6.86,43.59,3,"male","empl","par-time","single"
"528",60398,2018-04-06,26,21,17,6.57,59.39,1,"male","unempl","full-time","divorced"
"529",41779,2018-03-08,21,24,21,5.57,57.72,3,"male","unempl","full-time","single"
"530",11071,2018-01-18,27,25,5,7.71,19.52,3,"female","unempl","par-time","married"
"531",62832,2018-04-10,16,22,10,7.43,28.47,3,"female","empl","par-time","single"
"532",57699,2018-04-02,24,23,17,6.29,43.76,1,"male","empl","par-time","single"
"533",44027,2018-03-11,29,21,22,5.86,64.24,3,"male","unempl","full-time","divorced"
"534",62961,2018-04-11,25,23,20,5.86,59.34,2,"male","unempl","full-time","single"
"535",10338,2018-01-17,22,18,20,6.57,62.97,2,"male","unempl","full-time","single"
"536",68605,2018-04-19,21,18,14,7.43,55.35,1,"female","unempl","full-time","single"
"537",73574,2018-04-27,27,18,11,7.86,41.66,1,"female","empl","par-time","divorced"
"538",87600,2018-05-20,18,24,10,7.14,27.35,5,"female","empl","par-time","single"
"539",16545,2018-01-27,29,26,18,5.71,54.49,2,"male","unempl","full-time","divorced"
"540",54822,2018-03-29,32,18,27,5.57,89.97,1,"male","unempl","full-time","single"
"541",31007,2018-02-19,23,20,16,6.86,40.77,1,"male","empl","par-time","single"
"542",93064,2018-05-28,30,25,20,5.57,52.05,2,"male","unempl","full-time","divorced"
"543",27890,2018-02-14,21,20,17,6.71,57.41,1,"male","unempl","full-time","single"
"544",42633,2018-03-09,25,23,13,6.86,33.61,2,"female","empl","par-time","married"
"545",52714,2018-03-25,23,22,14,6.86,43.6,1,"female","empl","par-time","single"
"546",71222,2018-04-24,22,20,9,7.86,30.77,5,"female","empl","par-time","single"
"547",52911,2018-03-26,25,19,21,6.29,61.96,4,"male","unempl","full-time","single"
"548",19525,2018-02-01,23,16,11,8.14,46.97,2,"female","empl","par-time","single"
"549",91048,2018-05-25,32,18,9,8.14,36.69,1,"female","empl","par-time","divorced"
"550",29951,2018-02-17,23,23,21,5.71,59.69,1,"male","unempl","full-time","single"
"551",89772,2018-05-23,28,17,17,7.14,68.08,2,"male","unempl","full-time","divorced"
"552",17606,2018-01-28,21,25,8,7.29,17.87,2,"female","unempl","par-time","single"
"553",88924,2018-05-22,24,24,25,5,67.41,3,"male","unempl","full-time","single"
"554",38479,2018-03-03,22,24,18,6,52.93,5,"male","unempl","full-time","single"
"555",72546,2018-04-26,17,18,10,8,40.26,3,"female","empl","par-time","single"
"556",34869,2018-02-25,25,25,18,5.86,52.81,2,"male","unempl","full-time","single"
"557",54738,2018-03-28,26,18,12,7.71,43.7,1,"female","empl","par-time","divorced"
"558",49788,2018-03-21,21,22,20,6,58.65,5,"male","unempl","full-time","single"
"559",17382,2018-01-28,20,21,7,8,34.43,3,"female","empl","par-time","single"
"560",6075,2018-01-10,21,18,16,7.14,49.38,2,"male","empl","par-time","single"
"561",95808,2018-06-02,26,25,23,5.14,64.76,1,"male","unempl","full-time","divorced"
"562",96268,2018-06-02,21,18,5,8.71,26.2,5,"female","empl","par-time","single"
"563",80881,2018-05-09,24,22,17,6.43,51.6,2,"male","unempl","full-time","single"
"564",57964,2018-04-03,23,20,13,7.29,43.39,2,"female","empl","par-time","single"
"565",30334,2018-02-18,22,20,12,7.43,41.03,2,"female","empl","par-time","single"
"566",74733,2018-04-29,18,19,20,6.43,70.35,5,"male","unempl","full-time","single"
"567",62528,2018-04-10,25,21,5,8.29,12.87,4,"female","unempl","par-time","married"
"568",2057,2018-01-04,22,17,8,8.43,37.64,1,"female","empl","par-time","single"
"569",83812,2018-05-14,24,17,23,6.29,76.46,2,"male","unempl","full-time","single"
"570",75444,2018-04-30,19,19,27,5.43,82.29,2,"male","unempl","full-time","single"
"571",28907,2018-02-15,25,22,15,6.71,48.6,2,"male","empl","par-time","single"
"572",87638,2018-05-20,22,14,24,6.57,89.8,4,"male","unempl","full-time","single"
"573",87424,2018-05-19,20,21,13,7.14,48.93,5,"female","empl","par-time","single"
"574",66649,2018-04-16,22,18,17,7,60.25,2,"male","unempl","full-time","single"
"575",39342,2018-03-04,21,21,15,6.86,55.48,5,"male","unempl","full-time","single"
"576",82578,2018-05-12,24,22,14,6.86,49.57,5,"female","empl","par-time","single"
"577",67835,2018-04-18,23,17,18,7,62.82,2,"male","unempl","full-time","single"
"578",47455,2018-03-17,18,23,16,6.43,51.08,1,"male","unempl","full-time","single"
"579",86045,2018-05-17,27,19,26,5.57,88.22,2,"male","unempl","full-time","single"
"580",79028,2018-05-06,27,22,15,6.71,46.41,3,"male","empl","par-time","divorced"
"581",69276,2018-04-21,24,21,21,6,64.37,1,"male","unempl","full-time","single"
"582",5643,2018-01-09,25,25,12,6.71,33.65,4,"female","empl","par-time","married"
"583",98380,2018-06-06,28,10,16,8.29,68.31,5,"male","unempl","full-time","divorced"
"584",99112,2018-06-07,22,22,14,6.86,32.68,2,"female","empl","par-time","single"
"585",96289,2018-06-03,20,19,8,8.14,35.48,5,"female","empl","par-time","single"
"586",57129,2018-04-01,22,22,18,6.29,54.1,4,"male","unempl","full-time","single"
"587",62284,2018-04-09,22,15,18,7.29,74.12,1,"male","unempl","full-time","single"
"588",36941,2018-02-28,26,26,13,6.43,35.6,4,"female","empl","par-time","divorced"
"589",40802,2018-03-06,26,19,11,7.71,39.74,5,"female","empl","par-time","divorced"
"590",20172,2018-02-02,19,23,12,7,34.78,3,"female","empl","par-time","single"
"591",94200,2018-05-30,20,20,19,6.43,76.09,4,"male","unempl","full-time","single"
"592",12155,2018-01-20,27,22,13,7,38.46,2,"female","empl","par-time","divorced"
"593",22790,2018-02-06,18,24,16,6.29,49.69,2,"male","empl","par-time","single"
"594",93714,2018-05-29,20,19,15,7.14,51.77,5,"male","unempl","full-time","single"
"595",95538,2018-06-01,23,20,14,7.14,50.38,5,"female","unempl","full-time","single"
"596",27643,2018-02-13,27,20,9,7.86,23.81,2,"female","empl","par-time","married"
"597",68125,2018-04-19,23,18,18,6.86,66.9,4,"male","unempl","full-time","single"
"598",45113,2018-03-13,24,25,14,6.43,35.31,3,"female","empl","par-time","single"
"599",51996,2018-03-24,23,26,16,6,41.49,4,"male","empl","par-time","single"
"600",68641,2018-04-20,26,20,10,7.71,31.2,3,"female","empl","par-time","married"
"601",82653,2018-05-12,21,19,18,6.71,61.38,1,"male","unempl","full-time","single"
"602",81054,2018-05-09,25,16,13,7.86,53.97,4,"female","unempl","par-time","single"
"603",91882,2018-05-27,16,22,12,7.14,35.37,1,"female","empl","par-time","single"
"604",54435,2018-03-28,23,19,5,8.57,24.57,5,"female","empl","par-time","married"
"605",8957,2018-01-15,24,14,13,8.14,55,3,"female","unempl","par-time","single"
"606",99189,2018-06-07,24,19,4,8.71,13.71,1,"female","unempl","par-time","married"
"607",6777,2018-01-11,24,20,13,7.29,45.64,5,"female","empl","par-time","single"
"608",29140,2018-02-16,23,12,16,8,73.6,4,"male","unempl","full-time","single"
"609",24372,2018-02-08,26,22,15,6.71,44.02,5,"male","empl","par-time","divorced"
"610",17076,2018-01-28,23,20,9,7.86,30.01,2,"female","empl","par-time","married"
"611",82511,2018-05-12,25,19,20,6.43,64.38,2,"male","unempl","full-time","single"
"612",52455,2018-03-25,22,18,20,6.57,76.04,5,"male","unempl","full-time","single"
"613",60834,2018-04-07,26,22,16,6.57,54.45,2,"male","unempl","full-time","divorced"
"614",32741,2018-02-22,27,17,17,7.14,55.11,2,"male","unempl","full-time","divorced"
"615",91329,2018-05-26,17,15,21,6.86,78.67,2,"male","unempl","full-time","single"
"616",47844,2018-03-18,24,22,14,6.86,47.27,5,"female","empl","par-time","single"
"617",21598,2018-02-04,26,19,11,7.71,39.85,1,"female","empl","par-time","divorced"
"618",68747,2018-04-20,29,22,14,6.86,41.02,2,"female","empl","par-time","divorced"
"619",8767,2018-01-14,17,22,14,6.86,40.98,1,"female","empl","par-time","single"
"620",75664,2018-05-01,26,21,19,6.29,57.43,1,"male","unempl","full-time","divorced"
"621",65950,2018-04-15,22,24,19,5.86,52.13,2,"male","unempl","full-time","single"
"622",64908,2018-04-14,18,22,10,7.43,27.52,1,"female","empl","par-time","single"
"623",74922,2018-04-30,22,26,11,6.71,33.19,3,"female","empl","par-time","single"
"624",14164,2018-01-23,22,21,20,6.14,65.4,3,"male","unempl","full-time","single"
"625",80827,2018-05-09,20,21,9,7.71,30.23,1,"female","empl","par-time","single"
"626",77534,2018-05-04,20,25,12,6.71,33.88,3,"female","empl","par-time","single"
"627",42316,2018-03-09,20,22,15,6.71,44.23,2,"male","empl","par-time","single"
"628",95242,2018-06-01,28,23,20,5.86,54.31,2,"male","unempl","full-time","divorced"
"629",65372,2018-04-14,25,16,15,7.57,57.45,3,"male","unempl","full-time","single"
"630",31802,2018-02-20,27,20,17,6.71,60.6,1,"male","unempl","full-time","divorced"
"631",24055,2018-02-08,28,22,16,6.57,57.59,5,"male","unempl","full-time","divorced"
"632",58965,2018-04-04,25,15,19,7.14,62.38,4,"male","unempl","full-time","single"
"633",5957,2018-01-10,29,23,13,6.86,35.08,4,"female","empl","par-time","divorced"
"634",10557,2018-01-17,22,23,17,6.29,38.97,5,"male","empl","par-time","single"
"635",46332,2018-03-15,20,19,7,8.29,35.39,3,"female","empl","par-time","single"
"636",77226,2018-05-03,23,16,15,7.57,63.27,5,"male","unempl","full-time","single"
"637",80759,2018-05-09,21,23,17,6.29,51.42,5,"male","unempl","full-time","single"
"638",60194,2018-04-06,28,24,16,6.29,41.4,5,"male","empl","par-time","divorced"
"639",98402,2018-06-06,24,17,16,7.29,62.72,4,"male","unempl","full-time","single"
"640",56768,2018-04-01,23,18,16,7.14,55.29,3,"male","unempl","full-time","single"
"641",59524,2018-04-05,27,26,18,5.71,56.14,1,"male","unempl","full-time","divorced"
"642",78017,2018-05-05,25,19,2,9,18.34,4,"female","unempl","par-time","married"
"643",52600,2018-03-25,17,19,15,7.14,51.18,2,"male","unempl","full-time","single"
"644",34036,2018-02-24,32,19,17,6.86,61.32,3,"male","unempl","full-time","divorced"
"645",63913,2018-04-12,24,20,13,7.29,38.57,1,"female","empl","par-time","single"
"646",88284,2018-05-21,26,21,19,6.29,67.67,4,"male","unempl","full-time","divorced"
"647",6566,2018-01-11,24,19,20,6.43,85.52,5,"male","unempl","full-time","single"
"648",37813,2018-03-02,20,24,7,7.57,30.35,5,"female","empl","par-time","single"
"649",15725,2018-01-26,30,20,16,6.86,51.28,1,"male","unempl","full-time","divorced"
"650",90420,2018-05-24,23,23,19,6,53.86,3,"male","unempl","full-time","single"
"651",16686,2018-01-27,23,18,23,6.14,76.74,1,"male","unempl","full-time","single"
"652",1281,2018-01-03,25,23,7,7.71,25.47,4,"female","empl","par-time","married"
